               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.036942,            0.014576,            0.014029,             0.77186,             0.71994,             0.75819,             0.39345,            0.040849,           0.0073086,            0.011346,            0.008086,            0.008086,            0.008086
                  60,            0.035375,            0.013943,            0.012781,             0.74257,             0.68431,             0.74634,             0.37579,            0.041196,           0.0077341,            0.011437,            0.008053,            0.008053,            0.008053
                  61,            0.036123,            0.014428,             0.01427,             0.75302,             0.71711,             0.76045,             0.40548,            0.036747,           0.0074882,           0.0084265,             0.00802,             0.00802,             0.00802
                  62,            0.035697,            0.014636,            0.012551,             0.77179,             0.69757,             0.75628,             0.36125,            0.039598,           0.0072121,            0.010483,            0.007987,            0.007987,            0.007987
                  63,            0.035601,            0.014313,            0.013052,             0.74905,              0.6902,             0.73732,             0.37924,            0.041276,           0.0075251,            0.012277,            0.007954,            0.007954,            0.007954
                  64,            0.036342,            0.014029,            0.013498,             0.80726,             0.75952,             0.80359,             0.43258,            0.041772,           0.0070767,            0.009922,            0.007921,            0.007921,            0.007921
                  65,            0.036157,             0.01504,            0.014084,             0.79058,             0.72267,             0.77538,             0.38955,            0.040282,           0.0072034,            0.010047,            0.007888,            0.007888,            0.007888
                  66,            0.035628,            0.014442,            0.013384,             0.76156,              0.7506,             0.77783,             0.41708,            0.039682,           0.0070628,           0.0097084,            0.007855,            0.007855,            0.007855
                  67,            0.035256,            0.013968,             0.01233,             0.77484,              0.7008,             0.76175,             0.40436,            0.040787,           0.0070032,            0.012521,            0.007822,            0.007822,            0.007822
                  68,            0.035898,            0.014275,            0.013798,             0.79823,             0.73583,             0.76632,              0.3558,            0.041831,           0.0071381,            0.010449,            0.007789,            0.007789,            0.007789
                  69,            0.036061,            0.014372,            0.012357,             0.79623,             0.76133,             0.80145,             0.41242,            0.038596,           0.0070916,            0.007581,            0.007756,            0.007756,            0.007756
                  70,            0.035267,            0.013842,            0.012527,             0.80707,             0.75346,             0.79202,             0.42633,            0.038161,           0.0070373,           0.0082173,            0.007723,            0.007723,            0.007723
                  71,            0.035743,            0.013918,            0.013728,             0.80711,             0.74761,             0.79585,             0.39806,            0.038708,           0.0070284,            0.010502,             0.00769,             0.00769,             0.00769
                  72,            0.034658,            0.014349,            0.012435,             0.79648,             0.72836,             0.78643,             0.40429,            0.040538,           0.0071432,            0.011026,            0.007657,            0.007657,            0.007657
                  73,            0.037179,            0.014289,            0.013866,             0.77294,             0.74912,             0.78439,             0.40621,            0.039362,           0.0070595,           0.0091627,            0.007624,            0.007624,            0.007624
                  74,            0.034467,            0.014251,            0.013105,             0.75883,             0.74139,             0.77503,             0.41498,            0.039271,           0.0071496,            0.010906,            0.007591,            0.007591,            0.007591
                  75,            0.034712,            0.014161,            0.011885,             0.78546,               0.745,             0.78565,              0.4252,            0.039041,           0.0070713,           0.0088927,            0.007558,            0.007558,            0.007558
                  76,            0.033812,            0.013991,            0.012684,             0.79549,             0.77232,             0.79598,              0.4225,              0.0372,           0.0067917,           0.0091472,            0.007525,            0.007525,            0.007525
                  77,             0.03408,            0.014252,            0.010901,              0.8111,             0.78461,             0.80536,             0.43067,            0.037082,           0.0069964,           0.0076002,            0.007492,            0.007492,            0.007492
                  78,            0.035408,             0.01409,            0.012144,             0.83767,             0.76913,             0.81846,             0.44744,            0.037319,           0.0070825,           0.0073893,            0.007459,            0.007459,            0.007459
                  79,            0.033984,            0.013758,             0.01205,              0.7627,             0.76216,             0.77955,             0.40304,            0.038162,           0.0070702,           0.0089419,            0.007426,            0.007426,            0.007426
                  80,            0.034512,            0.014467,            0.012104,             0.80924,             0.75704,             0.80659,             0.44485,            0.037417,           0.0069844,           0.0073508,            0.007393,            0.007393,            0.007393
                  81,            0.034555,             0.01422,            0.011814,             0.84618,             0.75373,             0.81795,             0.45085,            0.036877,            0.006846,           0.0087715,             0.00736,             0.00736,             0.00736
                  82,            0.035494,             0.01413,            0.011309,              0.8227,             0.75456,             0.79694,             0.45318,            0.036713,           0.0070269,           0.0096616,            0.007327,            0.007327,            0.007327
                  83,            0.033316,            0.014005,            0.010515,             0.83817,             0.76832,             0.81599,             0.45467,            0.035919,           0.0069037,            0.011145,            0.007294,            0.007294,            0.007294
                  84,            0.033023,            0.014126,            0.011739,             0.81721,             0.74847,             0.80414,             0.40672,            0.037966,           0.0070769,           0.0081387,            0.007261,            0.007261,            0.007261
                  85,            0.033936,             0.01386,            0.011298,             0.83497,              0.7684,             0.81809,              0.4509,            0.036348,           0.0069153,            0.009256,            0.007228,            0.007228,            0.007228
                  86,            0.033899,            0.013521,            0.012236,             0.78851,             0.76269,             0.81321,             0.44375,            0.038876,           0.0070381,           0.0082886,            0.007195,            0.007195,            0.007195
                  87,            0.033062,            0.014211,            0.012418,             0.79442,             0.75322,             0.79835,             0.41051,            0.037473,           0.0069865,            0.012825,            0.007162,            0.007162,            0.007162
                  88,            0.033011,            0.014107,           0.0097234,               0.821,             0.77967,             0.81104,             0.46292,            0.037259,           0.0069893,           0.0088208,            0.007129,            0.007129,            0.007129
                  89,            0.034946,            0.013491,            0.010839,             0.82859,              0.7869,             0.81915,             0.43993,            0.035863,           0.0067521,           0.0096982,            0.007096,            0.007096,            0.007096
                  90,             0.03294,            0.014067,             0.01103,             0.81029,             0.78639,              0.8172,             0.43029,            0.036206,           0.0069114,            0.010665,            0.007063,            0.007063,            0.007063
                  91,            0.034008,            0.013573,            0.010526,             0.80756,             0.79443,             0.81432,             0.44912,            0.034908,           0.0069495,           0.0092933,             0.00703,             0.00703,             0.00703
                  92,            0.034609,            0.013844,            0.012801,             0.81111,             0.77617,             0.80663,             0.45679,            0.036345,           0.0069122,           0.0079042,            0.006997,            0.006997,            0.006997
                  93,            0.032773,            0.013159,            0.010267,             0.82898,             0.77807,             0.82303,             0.44473,            0.037437,           0.0067951,           0.0079799,            0.006964,            0.006964,            0.006964
                  94,            0.033348,            0.013716,             0.01145,             0.78389,             0.74296,             0.77516,             0.37553,            0.039569,           0.0073209,           0.0099147,            0.006931,            0.006931,            0.006931
                  95,            0.032041,            0.013664,            0.011676,             0.82161,              0.7682,             0.81392,             0.45802,            0.035963,           0.0069078,           0.0086954,            0.006898,            0.006898,            0.006898
                  96,            0.033036,            0.013947,            0.011718,             0.80814,             0.76401,             0.81293,              0.4518,            0.036902,           0.0068821,            0.012175,            0.006865,            0.006865,            0.006865
                  97,            0.032796,            0.013858,            0.011372,             0.84439,             0.77577,             0.82081,               0.451,            0.035242,           0.0070493,           0.0083953,            0.006832,            0.006832,            0.006832
                  98,            0.034602,            0.013723,            0.011066,             0.84614,             0.76662,             0.82193,             0.46292,            0.034981,           0.0068945,           0.0076167,            0.006799,            0.006799,            0.006799
                  99,            0.032912,            0.013458,            0.011045,             0.82703,              0.7935,             0.82416,             0.45055,            0.035449,           0.0067362,            0.007682,            0.006766,            0.006766,            0.006766
                 100,            0.034106,            0.013603,            0.010573,             0.84113,             0.76466,             0.82094,             0.47196,            0.034158,           0.0068357,           0.0057942,            0.006733,            0.006733,            0.006733
                 101,            0.033346,            0.013393,            0.010522,             0.81556,             0.77297,             0.80696,             0.44255,            0.036402,            0.006898,           0.0065746,              0.0067,              0.0067,              0.0067
                 102,             0.03318,            0.013686,            0.010855,             0.82383,             0.78842,             0.82274,             0.45128,            0.037035,            0.006817,           0.0070077,            0.006667,            0.006667,            0.006667
                 103,            0.032513,            0.013225,            0.010696,             0.83398,              0.7786,              0.8261,             0.45715,            0.035575,           0.0069198,           0.0075047,            0.006634,            0.006634,            0.006634
                 104,            0.032628,            0.013525,            0.010343,             0.81662,             0.78978,             0.83317,             0.45733,            0.035966,           0.0068422,           0.0089057,            0.006601,            0.006601,            0.006601
                 105,            0.033927,            0.013704,            0.010807,             0.81427,             0.77426,             0.80298,              0.4305,             0.03795,           0.0067452,           0.0080882,            0.006568,            0.006568,            0.006568
                 106,            0.033296,            0.013149,            0.011271,             0.83464,             0.77772,              0.8226,             0.46305,            0.036221,           0.0068178,           0.0082974,            0.006535,            0.006535,            0.006535
                 107,            0.032739,            0.014041,            0.011253,             0.85331,             0.79294,             0.83493,             0.47397,            0.034451,           0.0065233,           0.0066456,            0.006502,            0.006502,            0.006502
                 108,            0.032622,            0.013379,            0.010089,             0.81188,             0.78599,             0.82377,             0.45531,             0.03655,           0.0067135,           0.0074802,            0.006469,            0.006469,            0.006469
                 109,            0.032697,            0.013479,            0.011341,              0.8257,             0.78785,             0.81813,              0.4561,            0.036747,           0.0066585,           0.0078862,            0.006436,            0.006436,            0.006436
                 110,            0.032382,            0.013241,            0.010761,             0.81964,             0.78667,              0.8248,             0.44923,            0.036298,           0.0067716,           0.0091465,            0.006403,            0.006403,            0.006403
                 111,            0.031454,            0.012902,             0.01019,             0.81165,             0.77838,             0.81701,             0.44497,            0.035146,           0.0067662,           0.0090042,             0.00637,             0.00637,             0.00637
                 112,            0.033116,            0.013055,            0.010619,             0.80565,             0.77317,             0.81242,             0.46091,            0.034699,           0.0068748,            0.010774,            0.006337,            0.006337,            0.006337
                 113,            0.032021,            0.013724,           0.0097035,             0.84028,             0.78558,             0.82568,             0.47543,            0.034723,           0.0067306,           0.0084679,            0.006304,            0.006304,            0.006304
                 114,            0.031109,            0.012972,           0.0090958,             0.84178,             0.79407,             0.83658,             0.47338,            0.034922,           0.0066745,           0.0077841,            0.006271,            0.006271,            0.006271
                 115,            0.032301,            0.012871,           0.0092142,             0.84913,             0.79367,             0.84125,             0.47201,            0.034517,           0.0066508,           0.0081986,            0.006238,            0.006238,            0.006238
                 116,            0.031004,            0.013048,           0.0086171,             0.85522,             0.79528,             0.83732,             0.47798,            0.034517,           0.0065976,           0.0081745,            0.006205,            0.006205,            0.006205
                 117,            0.031909,            0.013554,           0.0096026,             0.79987,             0.76842,             0.81717,             0.46551,            0.036681,           0.0070772,            0.011255,            0.006172,            0.006172,            0.006172
                 118,            0.032782,            0.013169,           0.0098212,             0.82675,             0.80932,              0.8346,             0.48896,            0.036127,           0.0068235,              0.0106,            0.006139,            0.006139,            0.006139
                 119,            0.032469,            0.012794,            0.010064,             0.86214,             0.77103,             0.82416,              0.4664,            0.037009,           0.0067745,            0.010271,            0.006106,            0.006106,            0.006106
                 120,              0.0314,            0.012629,           0.0098546,             0.84243,             0.79072,             0.83111,             0.47852,            0.036574,           0.0066745,           0.0095474,            0.006073,            0.006073,            0.006073
                 121,            0.031498,            0.013641,           0.0095962,             0.83774,              0.7936,             0.83946,             0.47385,            0.035455,           0.0067636,            0.010121,             0.00604,             0.00604,             0.00604
                 122,            0.032649,            0.013294,            0.010524,              0.7965,             0.80916,             0.82205,             0.47515,            0.032714,           0.0067996,           0.0084742,            0.006007,            0.006007,            0.006007
